element	sp_num	ritz_wl_vac(A)	Aki(s^-1)	fik	Acc	Type	
Na	10	"47.4986"	"2.18e+11"	"1.03e-01"	A		
Na	10	"47.4986"	"5.41e+10"	"1.83e-02"	A		
Na	10	"47.4986"	"6.01e+09"	"1.22e-03"	A		
Na	10	"47.5201"	"9.51e+10"	"9.66e-02"	A		
Na	9	"47.7761"	"1.87e+10"	"1.28e-02"	B		
Na	10	"47.7856"	"3.74e+09"	"3.84e-03"	A		
Na	10	"47.7976"	"1.12e+10"	"3.84e-03"	A		
Na	9	"47.8359"	"2.23e+10"	"1.15e-02"	B		
Na	9	"47.8361"	"3.70e+09"	"1.27e-03"	C+		
Na	10	"47.8526"	"1.86e+10"	"3.83e-03"	A		
Na	9	"48.5531"	"3.37e+10"	"1.19e-02"	B+		
Na	9	"48.5531"	"3.36e+10"	"2.37e-02"	A		
Na	10	"48.9648"	"2.00e+11"	"1.20e-01"	A		
Na	10	"49.1099"	"3.15e+10"	"3.80e-03"	A		
Na	9	"49.3260"	"3.04e+10"	"2.22e-02"	B+		
Na	9	"49.3861"	"3.65e+10"	"2.00e-02"	B+		
Na	9	"49.3900"	"6.07e+09"	"2.22e-03"	B+		
K	19	"51.45780"	"7.65e+11"	"6.07e-01"	AA		
K	19	"51.46999"	"3.96e+11"	"3.15e-01"	AA		
K	19	"51.61248"	"8.06e+10"	"3.22e-02"	AA		
K	19	"51.63035"	"4.04e+11"	"1.61e-01"	AA		
K	19	"51.785377"	"1.68e+12"	"1.01e+00"	AA		
K	19	"51.78596"	"9.17e+11"	"5.53e-01"	AA		
K	19	"51.838554"	"4.55e+09"	"1.83e-03"	AA		
K	19	"51.83952"	"1.53e+11"	"6.16e-02"	AA		
K	19	"51.885655"	"1.80e+12"	"9.69e-01"	AA		
K	19	"51.912466"	"1.20e+11"	"4.85e-02"	AA		
K	19	"51.965904"	"4.16e+10"	"1.12e-02"	AA		
K	19	"51.99650"	"1.67e+11"	"3.38e-02"	AA		
K	19	"52.00122"	"4.80e+10"	"9.73e-03"	AA		
Na	9	"52.116"	"5.63e+10"	"4.58e-02"	A		
Na	9	"52.186"	"6.74e+10"	"4.12e-02"	A		
Na	9	"52.187"	"1.12e+10"	"4.57e-03"	B+		
Na	9	"52.426"	"4.45e+09"	"1.83e-03"	B+		
Na	9	"52.498"	"8.88e+09"	"1.83e-03"	B+		
Na	8	"53.704"	"5.95e+09"	"4.29e-03"	E		
Na	8	"53.750"	"1.78e+10"	"7.72e-03"	D		
Na	9	"53.857"	"6.40e+10"	"5.57e-02"	A		
Na	9	"53.867"	"6.38e+10"	"2.77e-02"	A		
Na	11	"54.051970"	"7.91e+11"	"6.93e-01"			
Na	11	"54.058579"	"3.28e+11"	"2.87e-01"			
Na	11	"54.096512"	"3.10e+10"	"1.36e-02"			
Na	11	"54.105216"	"3.30e+11"	"1.45e-01"			
Na	11	"54.194068"	"9.47e+11"	"6.25e-01"			
Na	11	"54.209636"	"1.58e+11"	"6.96e-02"			
Na	11	"54.254438"	"6.27e+10"	"1.38e-02"			
Na	8	"54.380"	"4.44e+10"	"5.91e-02"	D		
Na	8	"55.324"	"1.85e+10"	"2.55e-02"	E		
Na	8	"55.346"	"2.50e+10"	"1.91e-02"	D		
Na	8	"55.346"	"1.39e+10"	"6.37e-03"	E		
Na	8	"55.395"	"8.30e+09"	"3.82e-03"	E		
Na	8	"55.395"	"9.24e+08"	"2.55e-04"	E		
Na	8	"55.395"	"3.32e+10"	"2.14e-02"	D		
Na	8	"57.046"	"2.51e+10"	"3.67e-02"	D		
Na	8	"57.073"	"3.38e+10"	"2.75e-02"	D		
Na	8	"57.073"	"1.88e+10"	"9.16e-03"	E		
Na	8	"57.119"	"1.25e+09"	"3.66e-04"	E		
Na	8	"57.119"	"1.12e+10"	"5.49e-03"	E		
Na	8	"57.119"	"4.50e+10"	"3.08e-02"	D+		
Na	8	"57.230"	"4.04e+10"	"3.31e-02"	D		
Na	8	"58.045"	"3.00e+10"	"4.54e-02"	D		
Na	8	"58.070"	"4.04e+10"	"3.40e-02"	D		
Na	8	"58.070"	"2.24e+10"	"1.13e-02"	E		
Na	8	"58.124"	"1.49e+09"	"4.53e-04"	E		
Na	8	"58.124"	"5.37e+10"	"3.81e-02"	D+		
Na	8	"58.124"	"1.34e+10"	"6.80e-03"	E		
Na	9	"58.201"	"1.22e+11"	"1.24e-01"	A		
Na	9	"58.279"	"1.46e+11"	"1.11e-01"	A		
Na	9	"58.290"	"2.40e+10"	"1.22e-02"	A		
Na	8	"58.953"	"1.12e+10"	"9.75e-03"	E		
Na	9	"58.952"	"9.05e+09"	"4.71e-03"	B+		
Na	8	"59.009"	"3.35e+10"	"1.75e-02"	D		
Na	9	"59.044"	"1.82e+10"	"4.76e-03"	B+		
